net,length_um
_02697_,154.9
_02109_,154.89
_06075_,154.62
pc_plus_4_ex\[23\],154.4
_06090_,154.3
_05596_,153.14
_05510_,153.09
_03060_,152.8
_02057_,152.54
_04301_,152.26
_01766_,152.2
clknet_leaf_73_clk,151.74
mem_to_reg_wb,151.7
_00519_,151.5
_03793_,151.5
_02658_,151.32
_02136_,151.3
imm_ex\[20\],150.885
pc_plus_4_ex\[4\],150.775
_04379_,150.75
_01723_,150.7
_00141_,150.525
_01748_,150.47
clknet_3_6_0_clk,150.21
_03433_,150.17
_02103_,150.1
pc_plus_4_ex\[6\],149.96
pc_plus_4_ex\[28\],149.9
_02975_,149.88
pc_plus_4_ex\[5\],149.52
_02201_,149.3
net171,149.07
imm_ex\[21\],148.94
_00520_,148.92
_02792_,148.77
_02662_,148.49
_05115_,148.26
regfile.registers\[26\]\[2\],148.07
_05617_,148.04
pc_plus_4_ex\[7\],148.035
_02110_,147.99
_03510_,147.975
_04712_,147.72
_01970_,147.69
_02168_,147.685
_04113_,147.4
_05899_,147.15
_01987_,147.1
_05501_,146.96
clknet_3_2_0_clk,146.66
_03251_,146.46
_06138_,146.44
_01730_,145.72
_02756_,145.295
_05875_,145
_04739_,144.9
_02526_,144.88
_02597_,144.74
pc_plus_4_ex\[22\],144.7
_06028_,144.49
pc_plus_4_ex\[17\],144.48
_03622_,144.38
_03619_,144.28
_00139_,144.265
_06062_,144.18
_05532_,144.06
_03347_,143.62
_04368_,143.42
_02009_,143.32
_05369_,143.27
_04185_,143.19
_04786_,143.06
_05034_,142.9
_05336_,142.68
_02614_,142.54
_04090_,142.54
clknet_leaf_131_clk,142.14
_01879_,142.02
_01925_,141.66
_05694_,141.66
pc_plus_4_ex\[11\],141.3
clknet_3_0_0_clk,141.24
_02130_,141.19
_03079_,141.03
_02533_,141.015
clknet_leaf_70_clk,140.97
_04605_,140.62
_03192_,140.58
_02651_,140.56
_00140_,140.465
_03389_,140.4
_02569_,140.36
_04419_,140.2
clknet_leaf_138_clk,140.2
_05659_,139.82
_05736_,139.82
_01564_,139.805
_06161_,139.38
_02806_,139.22
_01982_,139.17
_02520_,138.89
_04794_,138.82
_02033_,138.79
_02019_,138.555
_05626_,138.54
pc_plus_4_ex\[27\],138.26
_03044_,138.25
_03241_,138.23
rd2_ex\[10\],137.94
_01990_,137.86
_04041_,137.84
pc_plus_4_ex\[19\],137.74
_02987_,137.58
_02605_,137.47
_04318_,137.34
_03527_,137.32
_02967_,137.2
_03648_,137.04
_02633_,137.02
_02757_,136.99
_05451_,136.86
imm_ex\[24\],136.6
clknet_leaf_142_clk,136.46
_04760_,136.34
_02404_,136.02
_05304_,135.98
_04550_,135.3
_01460_,135.265
haz_detect.wb_rd\[4\],135.24
_04081_,135.1
_05278_,134.87
_02158_,134.8
_02003_,134.76
rd2_ex\[14\],134.6
pc_plus_4_ex\[10\],134.02
_01749_,133.88
_04247_,133.8
_03144_,133.63
clknet_leaf_109_clk,133.58
_06121_,133.52
_04988_,133.51
_03141_,133.4
_04560_,133.34
_03627_,133.18
_03803_,132.66
_05174_,132.64
_02839_,132.35
_03473_,132.18
haz_detect.wb_rd\[2\],132.17
_02896_,131.72
_02611_,131.66
_02010_,131.48
clknet_leaf_146_clk,131.48
_02848_,130.86
_05654_,130.6
_01624_,130.42
_05035_,130.405
_02260_,129.96
_05927_,129.84
_03215_,129.82
_04439_,129.4
clknet_leaf_30_clk,129.4
_04344_,129.28
_03269_,129.2
_04134_,128.82
clknet_leaf_89_clk,128.44
clknet_leaf_130_clk,128.36
clknet_3_4_0_clk,128.36
_04264_,128.2
_03041_,128.18
_04477_,128
_02314_,127.95
_02123_,127.92
_01986_,127.74
regfile.registers\[25\]\[2\],127.44
_03119_,127.375
_00305_,127.18
_03963_,126.98
_05452_,126.68
_06270_,126.66
_01688_,126.64
regfile.registers\[27\]\[2\],126.38
_02004_,126.36
_03234_,126.28
_06052_,126.26
_06204_,125.96
_04051_,125.9
_02261_,125.85
_05772_,125.84
_01660_,125.56
_04231_,125.56
_05986_,125.56
rd2_ex\[13\],125.36
_02862_,125.02
_01561_,124.88
_05954_,124.76
