net,length_um
_02761_,191.44
_06026_,191.39
_03468_,191.19
rd2_ex\[2\],191.09
imm_ex\[6\],190.97
_03358_,190.93
_02451_,190.72
_03915_,190.71
_05407_,190.69
rd1_ex\[0\],190.59
_01822_,190.455
_03593_,190.42
_05918_,190.14
_04644_,189.99
_00000_,189.895
_01653_,189.6
_03010_,189.6
_03681_,189.56
_03780_,189.39
_04666_,189.1
_01636_,188.69
_06209_,187.84
_03754_,187.725
_04102_,187.7
_01727_,187.51
_05755_,187.35
_04586_,187.34
_06919_,187.195
_03496_,187.13
_06337_,186.9
pc_plus_4_ex\[6\],186.795
_03620_,186.71
_03500_,186.58
_06028_,186.56
_03385_,186.48
_02912_,186.1
clknet_4_11__leaf_clk,186.09
_04627_,186.08
_01683_,185.96
_02739_,185.94
_02759_,185.9
_03494_,185.9
_03181_,185.75
_03720_,185.44
_04195_,185.44
imm_ex\[10\],185.41
_02881_,185.28
_02701_,185.12
_02858_,185.1
_06052_,185.08
_05462_,184.98
_06760_,184.84
_04062_,184.8
_06738_,184.68
_02732_,184.32
_02777_,184.135
_05427_,184.095
_02928_,183.64
_06117_,183.6
_03445_,183.42
regfile.registers\[0\]\[30\],183.3
imm_ex\[14\],183.24
_03812_,183.11
_01998_,182.89
_05461_,182.76
_02724_,182.65
_01498_,182.58
_07021_,182.56
_02835_,182.175
regfile.registers\[12\]\[5\],182.135
_01495_,181.6
_02659_,181.53
_02757_,181.18
_03730_,181.09
_05429_,181.07
_00817_,180.765
_04264_,180.42
_01616_,180.36
_05518_,180.36
_01651_,180.02
_06664_,179.6
_04226_,179.5
_06089_,179.28
rd2_ex\[13\],179.26
_03383_,179.16
_03475_,179.05
_06719_,178.62
_06132_,178.57
_00631_,178.565
_04795_,178.41
_04646_,178.37
_04028_,178.24
_06058_,178.02
_04813_,177.98
_06034_,177.68
_02637_,177.65
_01747_,177.58
_05623_,177.46
_02499_,177.36
_03340_,177.35
_05719_,177.23
_06414_,176.54
_02801_,176.42
_06049_,176.38
_03793_,176.155
rd1_ex\[17\],176.12
_02379_,175.78
_04633_,175.56
_03345_,175.34
_01730_,175.32
_03467_,175.31
_01734_,175.02
_02528_,175
_04525_,174.72
_01518_,174.63
_02620_,174.6
_01738_,174.48
_02823_,174.36
_05432_,174.36
_01708_,174.19
_03844_,173.94
pc_plus_4_ex\[20\],173.78
imm_ex\[2\],173.74
_05444_,173.69
rd1_ex\[3\],173.66
_06258_,173.56
_06737_,173.56
_02740_,173.46
_03737_,173.15
_06167_,173.06
_04151_,172.86
_04241_,172.8
_03384_,172.68
_02537_,172.56
_03583_,172.43
_03218_,172.4
_06199_,172.38
_03351_,172.3
_02189_,172.21
_02311_,172.04
_01665_,172
_02853_,171.74
_03473_,171.7
_01699_,171.3
_03455_,170.92
_03502_,170.84
_07066_,170.71
_03322_,170.56
_04829_,170.42
_02652_,170.32
_00056_,170.16
_03136_,170.05
_03772_,170.05
_03703_,170
_04818_,169.98
_01667_,169.92
_03965_,169.59
_03364_,169.51
_02715_,169.485
_02752_,169.46
_03544_,169.455
_00629_,169.315
_03835_,169.26
_03642_,169.255
_02710_,169.1
_04814_,168.54
_01648_,168.42
_04013_,168.4
_03525_,168.345
_06184_,168.21
_03785_,168.12
_03411_,168.02
_06426_,168.02
_03239_,167.92
_00630_,167.475
_03187_,167.4
_01625_,167.335
_06836_,166.92
_05355_,166.68
_03627_,166.38
_06976_,166.22
_00791_,166.205
_02495_,165.98
_02664_,165.8
_01619_,165.68
_03875_,165.48
_01514_,165.34
_02684_,165.28
_04653_,165.26
imm_ex\[7\],165.04
_06476_,164.98
rd1_ex\[8\],164.87
_03488_,164.85
_01662_,164.8
pc_plus_4_ex\[21\],164.595
_03237_,164.54
_05653_,164.45
_03955_,164.44
_04671_,164.34
_06447_,164.24
_02762_,164.07
pc_plus_4_ex\[19\],163.96
clknet_leaf_118_clk,163.91
_00632_,163.905
_04632_,163.765
_01645_,163.66
_05955_,163.54
_02243_,163.52
_03815_,163.39
_05440_,163.375
_02527_,163.155
_06228_,162.87
rd2_ex\[18\],162.79
_01659_,162.68
_07063_,162.63
regfile.registers\[28\]\[5\],162.63
_03158_,162.49
_07030_,162.475
_02921_,162.32
_03619_,162.28
_03163_,162.135
_00058_,161.96
_01504_,161.92
_01532_,161.89
_06558_,161.74
_03732_,161.65
_04576_,161.5
_01546_,161.49
_03686_,161.46
_03833_,161.345
regfile.registers\[13\]\[30\],161.28
_06176_,161.2
_02744_,161.18
_03350_,160.94
_03453_,160.885
_01978_,160.85
_06559_,160.76
_03333_,160.44
_01705_,160.4
regfile.registers\[14\]\[7\],160.305
_02799_,160.18
_06620_,160.12
_06042_,160.02
_07031_,159.82
_02545_,159.785
_03907_,159.76
_03264_,159.7
_02671_,159.64
_03244_,159.61
_04122_,159.59
_02997_,159.53
regfile.registers\[28\]\[28\],159.51
_05460_,159.5
_02636_,159.3
_04514_,159.06
regfile.registers\[20\]\[27\],159.06
_06628_,159.02
_06380_,159.01
_05453_,158.885
clknet_leaf_132_clk,158.78
_06665_,158.58
_02650_,158.56
_02830_,158.38
_05446_,158.37
_04213_,158.32
_03398_,158.28
_03841_,158.12
_06886_,158.02
_01506_,157.82
_05442_,157.71
_01488_,157.66
_03523_,157.49
_03533_,157.33
_02103_,157.07
_04300_,156.605
imm_ex\[12\],156.48
_04504_,156.46
_03597_,156.01
_02991_,155.95
_03106_,155.48
_03255_,155.4
_06991_,155.395
_04316_,155.36
_03626_,155.3
_01656_,155.06
_02410_,154.95
_02535_,154.9
_05498_,154.87
_03144_,154.78
_01977_,154.76
clknet_leaf_17_clk,154.72
_04330_,154.22
_03036_,154.14
_00891_,154.025
_04359_,153.98
_04353_,153.94
_02522_,153.86
_04629_,153.82
_03456_,153.78
_01598_,153.68
_01643_,153.22
_04970_,153.12
_03045_,153.075
_03489_,153.06
_03656_,153.03
_02635_,152.84
_01487_,152.73
_02630_,152.68
_02641_,152.6
_00060_,152.42
clknet_leaf_134_clk,152.4
_05701_,151.96
_04672_,151.92
_05424_,151.78
_06187_,151.68
_03079_,151.46
_03324_,151.34
_02649_,151.035
_00641_,151.025
_00061_,150.9
_06922_,150.9
_03763_,150.875
_02531_,150.8
_03752_,150.76
_01535_,150.75
_03761_,150.63
_07052_,150.62
_05558_,150.56
_00610_,150.525
_03452_,150.525
_02543_,150.45
_04097_,150.42
_03910_,150.4
_03387_,150.33
_03787_,150.02
_04358_,149.8
_01486_,149.63
_03469_,149.5
_03638_,149.48
clknet_leaf_116_clk,149.46
_05409_,149.35
_03648_,149.24
_02580_,149.1
_04772_,148.92
_02792_,148.58
_05447_,148.56
regfile.registers\[1\]\[25\],148.56
_06161_,148.44
_02980_,148.42
_03501_,148.4
_05410_,148.32
_02888_,148.24
imm_ex\[1\],148.14
_06867_,148.12
_04220_,148.01
imm_ex\[5\],147.7
_04024_,147.66
_04090_,147.48
_01673_,147.42
clknet_leaf_82_clk,147.42
_03704_,147.18
_04780_,147.12
_04589_,147.05
_03311_,147.02
_06560_,146.74
_01661_,146.66
clknet_leaf_113_clk,146.6
_02728_,146.52
_05501_,146.42
_06999_,146.28
_01680_,146.26
_05552_,146.2
